,date,home_team,away_team,home_score,away_score,tournament,neutral,draw,home_win,margin_win,away_win
0,1938-01-09,Dominica,St. Lucia,4,1,Friendly,False,False,True,3,False
1,1938-01-09,Portugal,Hungary,4,0,Friendly,False,False,True,4,False
2,1938-01-10,Dominica,St. Lucia,1,3,Friendly,False,False,False,-2,True
3,1938-01-11,Dominica,St. Lucia,1,0,Friendly,False,False,True,1,False
4,1938-01-16,Luxembourg,Hungary,0,6,Friendly,False,False,False,-6,True
5,1938-01-22,Israel,Greece,1,3,FIFA World Cup qualification,True,False,False,-2,True
6,1938-01-30,France,Belgium,5,3,Friendly,False,False,True,2,False
7,1938-01-30,Portugal,Spain,1,0,Friendly,False,False,True,1,False
8,1938-02-06,Germany,Switzerland,1,1,Friendly,False,True,False,0,False
9,1938-02-20,Greece,Israel,1,0,FIFA World Cup qualification,False,False,True,1,False
10,1938-02-27,Netherlands,Belgium,7,2,Friendly,False,False,True,5,False
11,1938-03-13,Haiti,Jamaica,5,2,Friendly,False,False,True,3,False
12,1938-03-13,Luxembourg,Belgium,2,3,FIFA World Cup qualification,False,False,False,-1,True
13,1938-03-13,Switzerland,Poland,3,3,Friendly,False,True,False,0,False
14,1938-03-16,Northern Ireland,Wales,1,0,British Championship,False,False,True,1,False
15,1938-03-17,Haiti,Jamaica,2,0,Friendly,False,False,True,2,False
16,1938-03-20,Germany,Luxembourg,2,1,Friendly,False,False,True,1,False
17,1938-03-20,Germany,Hungary,1,1,Friendly,False,True,False,0,False
18,1938-03-20,Haiti,Jamaica,2,0,Friendly,False,False,True,2,False
19,1938-03-24,France,Bulgaria,6,1,Friendly,False,False,True,5,False
20,1938-03-25,Hungary,Greece,11,1,FIFA World Cup qualification,False,False,True,10,False
21,1938-03-28,Guyana,Trinidad and Tobago,1,1,Friendly,False,True,False,0,False
22,1938-04-01,Guyana,Trinidad and Tobago,0,3,Friendly,False,False,False,-3,True
23,1938-04-03,Belgium,Netherlands,1,1,FIFA World Cup qualification,False,True,False,0,False
24,1938-04-03,Switzerland,Czechoslovakia,4,0,International Cup,False,False,True,4,False
25,1938-04-03,Yugoslavia,Poland,1,0,FIFA World Cup qualification,False,False,True,1,False
26,1938-04-07,Guyana,Trinidad and Tobago,0,2,Friendly,False,False,False,-2,True
27,1938-04-09,England,Scotland,0,1,British Championship,False,False,False,-1,True
28,1938-04-24,Czechoslovakia,Bulgaria,6,0,FIFA World Cup qualification,False,False,True,6,False
29,1938-04-24,Germany,Portugal,1,1,Friendly,False,True,False,0,False
30,1938-05-01,Switzerland,Portugal,2,1,FIFA World Cup qualification,True,False,True,1,False
31,1938-05-08,Romania,Yugoslavia,0,1,Friendly,False,False,False,-1,True
32,1938-05-08,Switzerland,Belgium,0,3,Friendly,False,False,False,-3,True
33,1938-05-14,Germany,England,3,6,Friendly,False,False,False,-3,True
34,1938-05-15,Italy,Belgium,6,1,Friendly,False,False,True,5,False
35,1938-05-17,Latvia,Lithuania,2,0,Friendly,False,False,True,2,False
36,1938-05-18,Czechoslovakia,Ireland,2,2,Friendly,False,True,False,0,False
37,1938-05-21,Netherlands,Scotland,1,3,Friendly,False,False,False,-2,True
38,1938-05-21,Switzerland,England,2,1,Friendly,False,False,True,1,False
39,1938-05-22,Italy,Yugoslavia,4,0,Friendly,False,False,True,4,False
40,1938-05-22,Poland,Ireland,6,0,Friendly,False,False,True,6,False
41,1938-05-26,France,England,2,4,Friendly,False,False,False,-2,True
42,1938-05-29,Belgium,Yugoslavia,2,2,Friendly,False,True,False,0,False
43,1938-05-31,Norway,Estonia,1,0,Friendly,False,False,True,1,False
44,1938-06-04,Germany,Switzerland,1,1,FIFA World Cup,True,True,False,0,False
45,1938-06-05,Brazil,Poland,6,5,FIFA World Cup,True,False,True,1,False
46,1938-06-05,Cuba,Romania,3,3,FIFA World Cup,True,True,False,0,False
47,1938-06-05,Czechoslovakia,Netherlands,3,0,FIFA World Cup,True,False,True,3,False
48,1938-06-05,France,Belgium,3,1,FIFA World Cup,False,False,True,2,False
49,1938-06-05,Hungary,Indonesia,6,0,FIFA World Cup,True,False,True,6,False
50,1938-06-05,Italy,Norway,2,1,FIFA World Cup,True,False,True,1,False
51,1938-06-09,Cuba,Romania,2,1,FIFA World Cup,True,False,True,1,False
52,1938-06-09,Germany,Switzerland,2,4,FIFA World Cup,True,False,False,-2,True
53,1938-06-10,Sweden,Latvia,3,3,Friendly,False,True,False,0,False
54,1938-06-11,Lithuania,Estonia,0,2,Friendly,False,False,False,-2,True
55,1938-06-12,Brazil,Czechoslovakia,1,1,FIFA World Cup,True,True,False,0,False
56,1938-06-12,Cuba,Sweden,0,8,FIFA World Cup,True,False,False,-8,True
57,1938-06-12,France,Italy,1,3,FIFA World Cup,False,False,False,-2,True
58,1938-06-12,Hungary,Switzerland,2,0,FIFA World Cup,True,False,True,2,False
59,1938-06-14,Brazil,Czechoslovakia,2,1,FIFA World Cup,True,False,True,1,False
60,1938-06-15,Sweden,Finland,2,0,Friendly,False,False,True,2,False
61,1938-06-16,Brazil,Italy,1,2,FIFA World Cup,True,False,False,-1,True
62,1938-06-16,Hungary,Sweden,5,1,FIFA World Cup,True,False,True,4,False
63,1938-06-17,Norway,Finland,9,0,Nordic Championship,False,False,True,9,False
64,1938-06-18,Argentina,Uruguay,1,0,Friendly,False,False,True,1,False
65,1938-06-19,Brazil,Sweden,4,2,FIFA World Cup,True,False,True,2,False
66,1938-06-19,Hungary,Italy,2,4,FIFA World Cup,True,False,False,-2,True
67,1938-06-21,Denmark,Sweden,0,1,Nordic Championship,False,False,False,-1,True
68,1938-06-26,Netherlands,Indonesia,9,2,Friendly,False,False,True,7,False
69,1938-07-04,Finland,Sweden,2,4,Nordic Championship,False,False,False,-2,True
70,1938-07-05,Curaçao,Suriname,2,1,Friendly,False,False,True,1,False
71,1938-07-07,Curaçao,Suriname,1,0,Friendly,False,False,True,1,False
72,1938-07-08,Aruba,Suriname,5,0,Friendly,False,False,True,5,False
73,1938-07-10,Curaçao,Suriname,4,1,Friendly,False,False,True,3,False
74,1938-07-10,Guyana,Suriname,6,1,Friendly,False,False,True,5,False
75,1938-07-16,Trinidad and Tobago,Suriname,1,2,Friendly,False,False,False,-1,True
76,1938-07-18,Suriname,Trinidad and Tobago,3,0,Friendly,False,False,True,3,False
77,1938-07-20,Estonia,Latvia,0,2,Friendly,False,False,False,-2,True
78,1938-07-20,Suriname,Trinidad and Tobago,0,1,Friendly,False,False,False,-1,True
79,1938-08-07,Sweden,Czechoslovakia,2,6,Friendly,False,False,False,-4,True
80,1938-08-08,Bolivia,Ecuador,1,1,Friendly,True,True,False,0,False
81,1938-08-08,Colombia,Peru,2,4,Friendly,False,False,False,-2,True
82,1938-08-10,Colombia,Ecuador,1,2,Friendly,False,False,False,-1,True
83,1938-08-11,Bolivia,Venezuela,3,1,Friendly,True,False,True,2,False
84,1938-08-11,Ecuador,Peru,1,9,Friendly,True,False,False,-8,True
85,1938-08-13,Colombia,Venezuela,2,0,Friendly,False,False,True,2,False
86,1938-08-16,Colombia,Bolivia,1,2,Friendly,False,False,False,-1,True
87,1938-08-17,Estonia,Finland,1,3,Friendly,False,False,False,-2,True
88,1938-08-17,Peru,Venezuela,2,1,Friendly,True,False,True,1,False
89,1938-08-17,St. Kitts and Nevis,Grenada,0,4,Friendly,False,False,False,-4,True
90,1938-08-18,St. Kitts and Nevis,Grenada,2,4,Friendly,False,False,False,-2,True
91,1938-08-19,Ecuador,Venezuela,5,2,Friendly,True,False,True,3,False
92,1938-08-22,Bolivia,Ecuador,2,1,Friendly,True,False,True,1,False
93,1938-08-28,Latvia,Czechoslovakia,2,1,Friendly,False,False,True,1,False
94,1938-08-28,Yugoslavia,Czechoslovakia,1,3,Friendly,False,False,False,-2,True
95,1938-08-31,Finland,Denmark,2,1,Nordic Championship,False,False,True,1,False
96,1938-09-03,Australia,India,5,3,Friendly,False,False,True,2,False
97,1938-09-03,Estonia,Lithuania,3,1,Baltic Cup,False,False,True,2,False
98,1938-09-04,Latvia,Lithuania,1,1,Baltic Cup,True,True,False,0,False
99,1938-09-04,Norway,Sweden,2,1,Friendly,False,False,True,1,False
