1	GERGermany	1533(1532.68)	1609	0		784.89	784.89	804.19	402.09	463.51	139.05	1033.19	206.64	
2	BRABrazil	1384(1384.24)	1489	0		560.52	560.52	990.59	495.29	565.90	169.77	793.26	158.65	
3	BELBelgium	1346(1345.65)	1337	2		684.48	684.48	594.99	297.50	592.33	177.70	929.90	185.98	
4	PORPortugal	1306(1306.35)	1360	-1		687.22	687.22	658.47	329.23	576.48	172.94	584.73	116.95	
5	ARGArgentina	1254(1253.61)	1359	-1		418.94	418.94	839.74	419.87	769.42	230.83	919.87	183.97	
6	SUISwitzerland	1179(1179.21)	1197	2		594.33	594.33	716.99	358.49	390.85	117.26	545.66	109.13	
7	FRAFrance	1166(1166.42)	1185	2		517.68	517.68	828.04	414.02	347.19	104.16	652.83	130.57	
8	ESPSpain	1162(1161.59)	1228	-2		571.55	571.55	593.19	296.59	684.65	205.39	440.29	88.06	
9	CHIChile	1146(1145.74)	1161	1		435.51	435.51	714.45	357.22	850.55	255.17	489.25	97.85	
10	POLPoland	1118(1117.94)	1228	-4		499.90	499.90	764.51	382.25	450.51	135.15	503.18	100.64	
11	PERPeru	1106(1106.39)	1128	0		585.98	585.98	743.69	371.85	372.92	111.87	183.44	36.69	
12	DENDenmark	1054(1053.7)	1108	0		725.70	725.70	313.01	156.50	312.44	93.73	388.85	77.77	
13	ENGEngland	1040(1040.33)	1047	3		481.83	481.83	576.30	288.15	556.48	166.94	517.02	103.40	
14	TUNTunisia	1012(1012.15)	920	9		654.26	654.26	388.94	194.47	221.51	66.45	484.87	96.97	
15	MEXMexico	1008(1007.66)	1038	2		464.84	464.84	612.85	306.42	465.44	139.63	483.79	96.76	
16	COLColombia	989(988.57)	1106	-3		307.05	307.05	683.93	341.96	617.18	185.15	772.00	154.40	
17	URUUruguay	976(976.5)	931	5		437.65	437.65	481.04	240.52	596.12	178.84	597.48	119.50	
18	CROCroatia	975(975.17)	1053	-3		448.53	448.53	613.87	306.94	382.82	114.85	524.25	104.85	
19	NEDNetherlands	969(968.59)	964	2		555.26	555.26	310.64	155.32	269.28	80.78	886.14	177.23	
20	ITAItaly	947(947.03)	1062	-6		373.61	373.61	692.51	346.25	411.89	123.57	518.05	103.61	
21	WALWales	931(931.37)	984	-1		353.84	353.84	683.10	341.55	404.91	121.47	572.55	114.51	
22	ISLIceland	930(930.22)	1026	-4		487.38	487.38	506.60	253.30	339.98	101.99	437.70	87.54	
23	SWESweden	889(889.48)	1002	-4		507.67	507.67	414.85	207.43	378.28	113.48	304.52	60.90	
24	USAUSA	880(879.64)	876	1		485.97	485.97	433.41	216.70	385.31	115.59	306.89	61.38	
25	CRCCosta Rica	858(858.02)	872	1		406.15	406.15	469.42	234.71	304.31	91.29	629.32	125.86	
26	AUTAustria	841(840.97)	826	2		446.34	446.34	203.45	101.72	610.71	183.21	548.51	109.70	
27	NIRNorthern Ireland	837(837.28)	879	-3		402.97	402.97	387.46	193.73	477.71	143.31	486.34	97.27	
28	SENSenegal	825(825.44)	862	-1		389.94	389.94	505.25	252.62	267.91	80.37	512.51	102.50	
29	SVKSlovakia	786(785.86)	822	0		349.12	349.12	424.71	212.36	325.55	97.66	633.64	126.73	
30	UKRUkraine	777(777.1)	778	5		417.22	417.22	314.60	157.30	467.03	140.11	312.37	62.47	
31	IRLRepublic of Ireland	776(775.75)	804	0		338.31	338.31	426.79	213.39	553.91	166.17	289.38	57.88	
32	ROURomania	737(737.4)	749	4		386.39	386.39	204.39	102.20	370.01	111.00	689.03	137.81	
32	PARParaguay	737(736.92)	816	-2		359.06	359.06	399.06	199.53	495.29	148.59	148.71	29.74	
34	SCOScotland	735(734.82)	797	-2		466.54	466.54	213.42	106.71	287.76	86.33	376.21	75.24	
35	SRBSerbia	732(731.75)	780	-1		417.12	417.12	378.71	189.35	300.14	90.04	176.18	35.24	
36	IRNIR Iran	727(726.92)	792	-3		327.85	327.85	470.21	235.11	321.98	96.59	336.87	67.37	
37	TURTurkey	714(714.12)	730	1		273.49	273.49	351.18	175.59	712.22	213.66	256.89	51.38	
38	CODCongo DR	711(711.22)	728	1		336.51	336.51	417.74	208.87	297.93	89.38	382.36	76.47	
39	VENVenezuela	709(709.44)	659	9		425.68	425.68	373.63	186.81	229.87	68.96	139.94	27.99	
40	AUSAustralia	700(699.57)	740	-3		361.90	361.90	354.20	177.10	353.81	106.14	272.17	54.43	
41	BIHBosnia and Herzegovina	688(687.81)	700	0		269.32	269.32	375.30	187.65	527.23	158.17	363.33	72.67	
42	MARMorocco	681(681.12)	694	0		359.90	359.90	358.15	179.07	381.65	114.50	138.27	27.65	
43	MNEMontenegro	671(670.87)	675	3		390.74	390.74	407.55	203.78	118.91	35.67	203.39	40.68	
44	GREGreece	657(656.78)	685	1		321.47	321.47	393.81	196.91	222.85	66.85	357.79	71.56	
45	CZECzech Republic	647(646.62)	690	-2		293.48	293.48	274.23	137.12	357.67	107.30	543.62	108.72	
46	EGYEgypt	636(635.72)	687	-2		212.50	212.50	568.68	284.34	323.98	97.19	208.42	41.68	
47	NGANigeria	635(635.14)	609	5		274.01	274.01	477.39	238.70	190.76	57.23	326.03	65.21	
48	JAMJamaica	612(611.9)	643	1		364.08	364.08	175.16	87.58	359.58	107.87	261.82	52.36	
49	NORNorway	608(608.36)	578	8		402.82	402.82	96.03	48.02	367.04	110.11	237.04	47.41	
50	HUNHungary	604(603.77)	637	0		179.81	179.81	351.72	175.86	600.77	180.23	339.37	67.87	
51	CMRCameroon	603(603.23)	611	0		220.41	220.41	494.94	247.47	236.73	71.02	321.70	64.34	
51	GHAGhana	603(602.95)	602	3		250.56	250.56	342.41	171.20	278.93	83.68	487.52	97.50	
53	BFABurkina Faso	591(591.35)	587	3		211.00	211.00	543.68	271.84	187.85	56.35	260.77	52.15	
54	BULBulgaria	583(583.2)	715	-14		269.64	269.64	378.68	189.34	233.89	70.17	270.26	54.05	
55	PANPanama	575(574.78)	605	-2		285.44	285.44	318.55	159.28	293.86	88.16	209.56	41.91	
56	ALBAlbania	549(548.51)	557	2		263.09	263.09	239.65	119.82	238.16	71.45	470.75	94.15	
57	BOLBolivia	548(548.13)	674	-10		325.83	325.83	264.58	132.29	240.81	72.24	88.83	17.77	
58	CPVCape Verde Islands	545(545.47)	539	3		341.70	341.70	99.63	49.82	241.19	72.36	407.97	81.59	
59	HONHonduras	530(529.64)	517	5		304.09	304.09	326.75	163.38	162.82	48.84	66.68	13.34	
60	JPNJapan	528(528.22)	593	-5		177.16	177.16	407.86	203.93	266.44	79.93	335.96	67.19	
61	KORKorea Republic	520(519.75)	554	-2		159.92	159.92	404.98	202.49	316.17	94.85	312.46	62.49	
62	ALGAlgeria	516(516.47)	553	-2		207.94	207.94	233.69	116.84	302.92	90.88	504.06	100.81	
63	FINFinland	507(506.86)	503	5		352.12	352.12	53.79	26.90	328.63	98.59	146.29	29.26	
64	ECUEcuador	506(506.42)	508	1		67.14	67.14	372.42	186.21	626.79	188.04	325.19	65.04	
65	SVNSlovenia	495(495.37)	537	-3		215.68	215.68	309.51	154.76	231.11	69.33	278.03	55.61	
66	RUSRussia	493(493.15)	531	-3		211.16	211.16	168.88	84.44	419.66	125.90	358.27	71.65	
67	MLIMali	462(462.19)	506	0		195.42	195.42	258.83	129.41	273.89	82.17	276.00	55.20	
68	CIVCôte d'Ivoire	458(457.79)	479	3		115.30	115.30	314.24	157.12	294.49	88.35	485.12	97.02	
69	GUIGuinea	450(449.51)	484	1		213.84	213.84	175.95	87.98	228.79	68.64	395.33	79.07	
70	KSASaudi Arabia	445(444.66)	494	-1		126.65	126.65	360.20	180.10	380.91	114.27	118.20	23.64	
71	CUWCuraçao	439(438.87)	407	11		190.64	190.64	373.58	186.79	119.00	35.70	128.71	25.74	
72	RSASouth Africa	433(432.62)	440	4		193.72	193.72	214.93	107.47	223.03	66.91	322.64	64.53	
73	CHNChina PR	431(431.19)	508	-8		207.98	207.98	207.53	103.76	234.48	70.35	245.50	49.10	
74	UGAUganda	426(425.76)	435	4		187.11	187.11	218.03	109.01	242.22	72.67	284.85	56.97	
75	KGZKyrgyz Republic	424(424.06)	282	40		287.73	287.73	92.41	46.20	255.80	76.74	66.96	13.39	
76	SYRSyria	423(422.85)	442	-2		201.59	201.59	265.35	132.68	207.54	62.26	131.58	26.32	
77	MKDFYR Macedonia	422(421.86)	441	-2		325.16	325.16	118.80	59.40	68.31	20.49	84.05	16.81	
78	ZAMZambia	413(412.95)	438	-1		233.22	233.22	113.94	56.97	205.20	61.56	305.97	61.19	
79	BLRBelarus	410(409.65)	376	14		186.19	186.19	202.46	101.23	269.47	80.84	207.01	41.40	
80	CANCanada	407(407.48)	388	10		238.61	238.61	146.16	73.08	229.53	68.86	134.67	26.93	
81	UAEUnited Arab Emirates	405(404.8)	430	-2		183.25	183.25	193.45	96.73	254.61	76.38	242.20	48.44	
82	LIBLebanon	404(404.1)	390	5		301.75	301.75	132.72	66.36	106.59	31.98	20.06	4.01	
83	LUXLuxembourg	401(400.64)	405	0		312.46	312.46	44.24	22.12	175.63	52.69	66.89	13.38	
83	PLEPalestine	401(400.56)	449	-10		244.80	244.80	130.73	65.37	207.02	62.11	141.43	28.29	
85	SLVEl Salvador	392(392.23)	390	2		243.34	243.34	141.67	70.83	171.16	51.35	133.55	26.71	
86	CYPCyprus	386(386.13)	378	6		198.44	198.44	126.65	63.32	251.21	75.36	245.03	49.01	
87	OMAOman	383(382.51)	331	16		246.54	246.54	116.09	58.04	176.62	52.99	124.70	24.94	
88	UZBUzbekistan	381(380.96)	451	-16		93.44	93.44	315.56	157.78	311.74	93.52	181.07	36.21	
88	IRQIraq	381(380.83)	405	-5		234.97	234.97	109.65	54.83	157.68	47.30	218.68	43.74	
90	BENBenin	379(378.79)	427	-9		173.02	173.02	158.10	79.05	294.77	88.43	191.44	38.29	
91	CGOCongo	378(377.52)	390	-4		160.58	160.58	113.84	56.92	253.26	75.98	420.24	84.05	
92	TRITrinidad and Tobago	374(374.41)	430	-13		142.38	142.38	137.85	68.93	354.19	106.26	284.28	56.86	
