,id,score1,score2,team1,team2,year,score_diff,winner,matches_played,matches_won,years_played,podium_score,cups_won,matches_won_percent,podium_score_yearly,cups_won_yearly,matches_played_2,matches_won_2,years_played_2,podium_score_2,cups_won_2,matches_won_percent_2,podium_score_yearly_2,cups_won_yearly_2
0,0,4,0,Brazil,Mexico,1950,4,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
1,1,3,0,Yugoslavia,Switzerland,1950,3,1,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0
2,2,2,2,Brazil,Switzerland,1950,0,0,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0
3,3,4,1,Yugoslavia,Mexico,1950,3,1,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
4,4,2,0,Brazil,Yugoslavia,1950,2,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0
5,5,2,1,Switzerland,Mexico,1950,1,1,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
6,6,2,0,England,Chile,1950,2,1,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142,29.0,9.0,8.0,4,0.0,31.03448275862069,0.5,0.0
7,7,3,1,Spain,United States,1950,2,1,56.0,28.0,13.0,18,1.0,50.0,1.3846153846153846,0.07692307692307693,28.0,6.0,8.0,False,0.0,21.428571428571427,0.0,0.0
8,8,2,0,Spain,Chile,1950,2,1,56.0,28.0,13.0,18,1.0,50.0,1.3846153846153846,0.07692307692307693,29.0,9.0,8.0,4,0.0,31.03448275862069,0.5,0.0
9,9,1,0,United States,England,1950,1,1,28.0,6.0,8.0,False,0.0,21.428571428571427,0.0,0.0,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142
10,10,1,0,Spain,England,1950,1,1,56.0,28.0,13.0,18,1.0,50.0,1.3846153846153846,0.07692307692307693,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142
11,11,5,2,Chile,United States,1950,3,1,29.0,9.0,8.0,4,0.0,31.03448275862069,0.5,0.0,28.0,6.0,8.0,False,0.0,21.428571428571427,0.0,0.0
12,12,3,2,Sweden,Italy,1950,1,1,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,74.0,37.0,16.0,54,2.0,50.0,3.375,0.125
13,13,2,2,Sweden,Paraguay,1950,0,0,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,25.0,6.0,7.0,False,0.0,24.0,0.0,0.0
14,14,2,0,Italy,Paraguay,1950,2,1,74.0,37.0,16.0,54,2.0,50.0,3.375,0.125,25.0,6.0,7.0,False,0.0,24.0,0.0,0.0
15,15,8,0,Uruguay,Bolivia,1950,8,1,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,4.0,0.0,2.0,False,0.0,0.0,0.0,0.0
16,16,2,2,Uruguay,Spain,1950,0,0,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,56.0,28.0,13.0,18,1.0,50.0,1.3846153846153846,0.07692307692307693
17,17,7,1,Brazil,Sweden,1950,6,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0
18,18,6,1,Brazil,Spain,1950,5,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,56.0,28.0,13.0,18,1.0,50.0,1.3846153846153846,0.07692307692307693
19,19,3,2,Uruguay,Sweden,1950,1,1,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0
20,20,3,1,Sweden,Spain,1950,2,1,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,56.0,28.0,13.0,18,1.0,50.0,1.3846153846153846,0.07692307692307693
21,21,2,1,Uruguay,Brazil,1950,1,1,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354
22,22,5,0,Brazil,Mexico,1954,5,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
23,23,1,0,Yugoslavia,France,1954,1,1,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0,51.0,25.0,11.0,34,1.0,49.01960784313725,3.090909090909091,0.09090909090909091
24,24,1,1,Brazil,Yugoslavia,1954,0,0,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0
25,25,3,2,France,Mexico,1954,1,1,51.0,25.0,11.0,34,1.0,49.01960784313725,3.090909090909091,0.09090909090909091,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
26,26,4,1,Germany,Turkey,1954,3,1,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875,10.0,5.0,2.0,4,0.0,50.0,2.0,0.0
27,27,9,0,Hungary,South Korea,1954,9,1,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0,31.0,5.0,9.0,2,0.0,16.129032258064516,0.2222222222222222,0.0
28,28,8,3,Hungary,Germany,1954,5,1,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875
29,29,7,0,Turkey,South Korea,1954,7,1,10.0,5.0,2.0,4,0.0,50.0,2.0,0.0,31.0,5.0,9.0,2,0.0,16.129032258064516,0.2222222222222222,0.0
30,30,7,2,Germany,Turkey,1954,5,1,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875,10.0,5.0,2.0,4,0.0,50.0,2.0,0.0
31,31,2,0,Uruguay,Czechoslovakia,1954,2,1,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,23.0,7.0,6.0,8,0.0,30.434782608695656,1.3333333333333333,0.0
32,32,1,0,Austria,Scotland,1954,1,1,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0,23.0,4.0,8.0,False,0.0,17.391304347826086,0.0,0.0
33,33,7,0,Uruguay,Scotland,1954,7,1,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,23.0,4.0,8.0,False,0.0,17.391304347826086,0.0,0.0
34,34,5,0,Austria,Czechoslovakia,1954,5,1,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0,23.0,7.0,6.0,8,0.0,30.434782608695656,1.3333333333333333,0.0
35,35,2,1,Switzerland,Italy,1954,1,1,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0,74.0,37.0,16.0,54,2.0,50.0,3.375,0.125
36,36,4,4,England,Belgium,1954,0,0,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142,35.0,13.0,9.0,2,0.0,37.142857142857146,0.2222222222222222,0.0
37,37,4,1,Italy,Belgium,1954,3,1,74.0,37.0,16.0,54,2.0,50.0,3.375,0.125,35.0,13.0,9.0,2,0.0,37.142857142857146,0.2222222222222222,0.0
38,38,2,0,England,Switzerland,1954,2,1,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0
39,39,4,1,Switzerland,Italy,1954,3,1,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0,74.0,37.0,16.0,54,2.0,50.0,3.375,0.125
40,40,7,5,Austria,Switzerland,1954,2,1,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0,27.0,9.0,8.0,False,0.0,33.33333333333333,0.0,0.0
41,41,4,2,Uruguay,England,1954,2,1,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142
42,42,2,4,Brazil,Hungary,1954,-2,2,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0
43,43,0,2,Yugoslavia,Germany,1954,-2,2,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875
44,44,4,2,Hungary,Uruguay,1954,2,1,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091
45,45,6,1,Germany,Austria,1954,5,1,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0
46,46,1,3,Uruguay,Austria,1954,-2,2,46.0,16.0,11.0,22,1.0,34.78260869565217,2.0,0.09090909090909091,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0
47,47,2,3,Hungary,Germany,1954,-1,2,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875
48,48,3,1,Germany,Argentina,1958,2,1,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875,67.0,36.0,14.0,40,2.0,53.73134328358209,2.857142857142857,0.14285714285714285
49,49,1,0,Northern Ireland,Czechoslovakia,1958,1,1,13.0,3.0,3.0,False,0.0,23.076923076923077,0.0,0.0,23.0,7.0,6.0,8,0.0,30.434782608695656,1.3333333333333333,0.0
50,50,3,1,Argentina,Northern Ireland,1958,2,1,67.0,36.0,14.0,40,2.0,53.73134328358209,2.857142857142857,0.14285714285714285,13.0,3.0,3.0,False,0.0,23.076923076923077,0.0,0.0
51,51,2,2,Germany,Czechoslovakia,1958,0,0,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875,23.0,7.0,6.0,8,0.0,30.434782608695656,1.3333333333333333,0.0
52,52,2,2,Germany,Northern Ireland,1958,0,0,101.0,61.0,16.0,94,3.0,60.396039603960396,5.875,0.1875,13.0,3.0,3.0,False,0.0,23.076923076923077,0.0,0.0
53,53,6,1,Czechoslovakia,Argentina,1958,5,1,23.0,7.0,6.0,8,0.0,30.434782608695656,1.3333333333333333,0.0,67.0,36.0,14.0,40,2.0,53.73134328358209,2.857142857142857,0.14285714285714285
54,54,2,1,Northern Ireland,Czechoslovakia,1958,1,1,13.0,3.0,3.0,False,0.0,23.076923076923077,0.0,0.0,23.0,7.0,6.0,8,0.0,30.434782608695656,1.3333333333333333,0.0
55,55,7,3,France,Paraguay,1958,4,1,51.0,25.0,11.0,34,1.0,49.01960784313725,3.090909090909091,0.09090909090909091,25.0,6.0,7.0,False,0.0,24.0,0.0,0.0
56,56,1,1,Yugoslavia,Scotland,1958,0,0,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0,23.0,4.0,8.0,False,0.0,17.391304347826086,0.0,0.0
57,57,3,2,Yugoslavia,France,1958,1,1,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0,51.0,25.0,11.0,34,1.0,49.01960784313725,3.090909090909091,0.09090909090909091
58,58,3,2,Paraguay,Scotland,1958,1,1,25.0,6.0,7.0,False,0.0,24.0,0.0,0.0,23.0,4.0,8.0,False,0.0,17.391304347826086,0.0,0.0
59,59,2,1,France,Scotland,1958,1,1,51.0,25.0,11.0,34,1.0,49.01960784313725,3.090909090909091,0.09090909090909091,23.0,4.0,8.0,False,0.0,17.391304347826086,0.0,0.0
60,60,3,3,Paraguay,Yugoslavia,1958,0,0,25.0,6.0,7.0,False,0.0,24.0,0.0,0.0,34.0,14.0,8.0,2,0.0,41.17647058823529,0.25,0.0
61,61,3,0,Sweden,Mexico,1958,3,1,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
62,62,1,1,Hungary,Wales,1958,0,0,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0,5.0,1.0,1.0,False,0.0,20.0,0.0,0.0
63,63,1,1,Mexico,Wales,1958,0,0,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0,5.0,1.0,1.0,False,0.0,20.0,0.0,0.0
64,64,2,1,Sweden,Hungary,1958,1,1,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0
65,65,0,0,Sweden,Wales,1958,0,0,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,5.0,1.0,1.0,False,0.0,20.0,0.0,0.0
66,66,4,0,Hungary,Mexico,1958,4,1,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0,49.0,14.0,14.0,False,0.0,28.57142857142857,0.0,0.0
67,67,2,1,Wales,Hungary,1958,1,1,5.0,1.0,1.0,False,0.0,20.0,0.0,0.0,26.0,11.0,7.0,8,0.0,42.30769230769231,1.1428571428571428,0.0
68,68,3,0,Brazil,Austria,1958,3,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0
69,69,2,2,Russia,England,1958,0,0,40.0,17.0,10.0,2,0.0,42.5,0.2,0.0,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142
70,70,0,0,Brazil,England,1958,0,0,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142
71,71,2,0,Russia,Austria,1958,2,1,40.0,17.0,10.0,2,0.0,42.5,0.2,0.0,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0
72,72,2,2,England,Austria,1958,0,0,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142,25.0,10.0,6.0,4,0.0,40.0,0.6666666666666666,0.0
73,73,2,0,Brazil,Russia,1958,2,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,40.0,17.0,10.0,2,0.0,42.5,0.2,0.0
74,74,1,0,Russia,England,1958,1,1,40.0,17.0,10.0,2,0.0,42.5,0.2,0.0,62.0,26.0,14.0,18,1.0,41.935483870967744,1.2857142857142858,0.07142857142857142
75,75,4,0,France,Northern Ireland,1958,4,1,51.0,25.0,11.0,34,1.0,49.01960784313725,3.090909090909091,0.09090909090909091,13.0,3.0,3.0,False,0.0,23.076923076923077,0.0,0.0
76,76,2,0,Sweden,Russia,1958,2,1,41.0,14.0,9.0,16,0.0,34.146341463414636,1.7777777777777777,0.0,40.0,17.0,10.0,2,0.0,42.5,0.2,0.0
77,77,1,0,Brazil,Wales,1958,1,1,92.0,65.0,17.0,102,5.0,70.65217391304348,6.0,0.29411764705882354,5.0,1.0,1.0,False,0.0,20.0,0.0,0.0
